Occurrences	Hindawi (5594310)	Giga (5594256)	lemma#pos	Gloss	Answer1 - Egyptian	Answer2 - Syrian	Answer3 - Saudi Arabian	readability (rounded average)
50479	74.79%	25.21%	لَمْ#part_neg	did_not#did_+_not#unless_+_not	2	1	2	2
41655	38.92%	61.08%	مَع#noun	something_with	1	1	1	1
40667	66.98%	33.02%	هُوَ#pron	it/he	2	1	1	1
36166	72.52%	27.48%	بِ#prep	with/by_+_it/them/her#with/by_+_it/him#with/by_+_them_both#with/by_+_them_[masc.pl.]#with/by_+_me#with/by_+_them_[fem.pl.]#with/by_+_us#with/by_+_you_[masc.pl.]#with/by_+_you_both#with;by#with/by_+_you_[masc.sg.]	1	2	1	1
34796	61.44%	38.56%	كُلّ#noun_quant	all,_entire,_every,_whole	1	1	1	1
33605	74.76%	25.24%	إِنَّ#verb_pseudo	indeed	3	3	2	3
32297	46.15%	53.85%	بَيْنَ#noun	between/among	1	1	1	1
31706	50.99%	49.01%	بَعْد#noun	after	1	1	1	1
29980	88.42%	11.58%	رَأَى#verb	see;think;believe#be_seen;be_thought;be_believed	1	1	1	1
26582	54.40%	45.60%	يَوْم#noun	today#days#day	1	1	1	1
26093	50.13%	49.87%	أَوْ#conj	Or,_if_not,_unless,_except_if,_except_when	1	1	1	1
25648	97.42%	2.58%	يا#part_voc	O,_oh	1	1	1	1
24817	88.54%	11.46%	ثُمَّ#conj	then,_afterwards,_next,_moreover	3	2	2	2
24663	68.65%	31.35%	لٰكِنَّ#verb_pseudo	But,_however,_yet,_still,_nevertheless,_on_the_other_hand	2	1	2	2
24622	74.91%	25.09%	نَفْس#noun	same;self#selves#souls	1	1	1	1
24472	10.29%	89.71%	رَئِيس#noun	presidents#president;head;chairman	1	1	2	1
23327	80.13%	19.87%	إِذا#conj_sub	If,_whether,_when,_whenever	1	1	1	1
23285	62.46%	37.54%	هِيَ#pron	it/they/she	2	1	1	1
20568	72.41%	27.59%	أَمْر#noun	matter;issue#matters;issues#orders;commands	2	1	2	2
20053	28.72%	71.28%	أَوَّل#adj_num	first	1	1	1	1
19921	58.56%	41.44%	غَيْر#noun	not;other	2	1	2	2
18621	81.59%	18.41%	رَجُل#noun	man#men;people#leading_men;prominent_men	1	1	1	1
17389	63.61%	36.39%	عِنْد#noun	with/at#the_time_when_+_[def.acc.]_+_that	1	1	2	1
15973	9.61%	90.39%	عام#noun	year	2	2	1	2
15410	13.57%	86.43%	دَوْلَة#noun	state;country#states;countries	1	1	2	1
14757	82.92%	17.08%	شَيْء#noun	something;thing#things	2	1	1	1
14736	87.93%	12.07%	يَد#noun	hand	1	1	1	1
14632	24.56%	75.44%	عَمَل#noun	work;action#actions;activities;work	2	1	1	1
14559	85.64%	14.36%	إِلّا#part_restrict	except_for	1	2	1	1
14558	67.67%	32.33%	إِنْ#conj_sub	Although,_(even)_though,_even_if,_despite,_in_spite_of_the_fact_that,_verily,_truly#indeed_+_if	2	2	3	2
14076	82.63%	17.37%	عَرَف#verb	know	1	1	1	1
14071	77.90%	22.10%	عاد#verb	return;go_back	2	1	1	1
13644	4.36%	95.64%	عَدَد#noun	number;quantity;issue#numbers;issues	1	1	1	1
13592	49.19%	50.81%	بَعْض#noun_quant	some,_a_few,_little,_part	1	1	1	1
13228	78.15%	21.85%	أَراد#verb	want;desire;intend#be_desired;be_intended	2	1	1	1
13080	8.43%	91.57%	وَزِير#noun	minister	4	3	3	3
13062	80.85%	19.15%	لا#verb_pseudo	no	1	2	1	1
13013	48.14%	51.86%	أَحَد#noun	one_(of);someone#ones#one_(of);someone;anyone;no-one	2	1	1	1
12810	22.32%	77.68%	قُوَّة#noun	power;strength#power;forces#armed_forces	1	1	1	1
12518	19.57%	80.43%	سَنَة#noun	years#year	1	1	1	1
12281	60.79%	39.21%	لَيْسَ#verb	is;are_+_not_be#not_be	1	1	1	1
12273	46.86%	53.14%	قَبْل#noun	before	1	1	1	1
11824	79.24%	20.76%	ٱِبْن#noun	daughter#son;junior_(Jr.)#sons;children	1	1	1	1
11720	6.34%	93.66%	خِلال#noun	during;through;(by)_means_(of);via;through	1	2	2	2
11719	85.84%	14.16%	أَنا#pron	I	1	1	1	1
11653	71.57%	28.43%	آن#noun	time;moment	3	4	4	4
11469	13.88%	86.12%	تَمّ#verb	conclude;take_place	3	3	3	3
11194	22.65%	77.35%	ثانِي#adj_num	second;next	1	1	1	1
11063	14.63%	85.37%	مَجْلِس#noun	council;board#councils;boards	4	4	3	4
10909	27.77%	72.23%	بَلَد#noun	country#countries#country;countries	1	1	1	1
10745	44.74%	55.26%	آخَر#adj	other;another	2	1	1	1
10729	20.21%	79.79%	جَدِيد#adj	new;modern#new	1	1	1	1
10679	75.55%	24.45%	أَمّا#part_focus	As_to,_as_for,_as_far_as_he_(she,_it,_..etc)_is_concerned,_but,_however,_yet,_on_the_other_hand	3	3	2	3
10661	64.85%	35.15%	حِين#noun	time;moment;opportunity#times;opportunities#when;while_+_[def.acc.]_+_that	2	3	3	3
10494	57.19%	42.81%	مِثْل#noun	like;such_as#something_like_+_[def.acc]_+_as	2	1	1	1
10397	86.28%	13.72%	حَتَّى#conj_sub	so_that	1	2	1	1
10385	34.77%	65.23%	مُنْذُ#prep	since;for;in;ago	3	2	2	2
10373	64.09%	35.91%	ما#conj_sub	that/if/unless/whether/as_long_as/as_soon_as	4	3	3	3
10327	68.91%	31.09%	لٰكِنْ#conj	But,_however,_yet,_still,_nevertheless,_on_the_other_hand	2	2	2	2
10305	69.63%	30.37%	وَجَد#verb	find#be_found;exist	2	1	1	1
10283	31.25%	68.75%	حَيْثُ#adv_rel	with/by_+_where;whereby;since;given_that#where;whereby;since;given_that	3	3	2	3
10282	32.01%	67.99%	كَبِير#adj	large;great;important;major;senior#senior;important	1	1	1	1
10234	78.00%	22.00%	هَلْ#part_interrog	do?;is?	2	1	1	1
10206	28.87%	71.13%	أَيّ#noun_quant	any	1	1	1	1
10152	62.02%	37.98%	حَتَّى#prep	until;up_to	1	2	1	1
10030	89.97%	10.03%	عَلِم#verb	know;find_out#know;be_aware#be_known;be_found_out	1	2	1	1
10007	52.48%	47.52%	ٱِسْم#noun	name#in/by_+_(the)_Name_of_+_[def.gen.]	1	1	1	1
9951	98.94%	1.06%	لَمّا#conj_sub	as,_when	1	1	1	1
9929	94.35%	5.65%	سَمِع#verb	hear;listen#be_heard;be_listened_to	1	1	1	1
9718	84.77%	15.23%	باب#noun	doors;gates#door;gate	1	1	1	1
9718	88.29%	11.71%	عَيْن#noun	eye#notables;VIP's#ain_(Arabic_letter)	1	1	1	1
9710	51.33%	48.67%	جَمِيع#noun_quant	all,_entire,_every,_whole	1	1	1	1
9514	69.04%	30.96%	حَياة#noun	life#lives	1	1	1	1
9493	42.93%	57.07%	أَمام#noun	front;forward	2	1	1	1
9431	71.06%	28.94%	جاء#verb	arrive;come;occur	1	1	1	1
9397	52.35%	47.65%	كَثِير#adj	many;much;numerous	2	1	1	1
9338	89.60%	10.40%	قَلْب#noun	hearts#overthrowing;toppling#heart;center;essence	1	1	1	1
9318	8.92%	91.08%	حُكُومَة#noun	government;administration#governments;administrations	1	2	2	2
9299	38.85%	61.15%	هُناكَ#adv	there	2	1	1	1
9160	64.09%	35.91%	ساعَة#noun	hours#hour;time	1	1	1	1
8970	35.01%	64.99%	أُخْرَى#adj	other;another;additional#other;another#others;another	3	3	2	3
8733	41.75%	58.25%	سَبَب#noun	reason;cause#reasons;causes;circumstances	1	1	1	1
8709	73.07%	26.93%	بَلْ#conj	Rather,_even,_but,_yet,_however	3	2	3	3
8700	53.82%	46.18%	واحِد#noun_num	one	1	1	1	1
8646	28.95%	71.05%	حَوْل#noun	about;around;concerning	1	1	1	1
8602	56.99%	43.01%	طَرِيق#noun	road;way#roads;ways;means;methods	1	1	1	1
8581	2.59%	97.41%	مِنْطَقَة#noun	area;zone;territory#areas;zones;territories	2	1	2	2
8575	83.56%	16.44%	دَخَل#verb	enter	1	1	1	1
8489	39.33%	60.67%	مَدِينَة#noun	city#cities	1	1	1	1
8446	27.47%	72.53%	أَكْثَر#adj_comp	more,_most,_majority	1	1	1	1
8396	89.42%	10.58%	ذَهَب#verb	go;depart	1	1	1	1
8387	43.95%	56.05%	جانِب#noun	side;aspect#sides;aspects	2	2	1	2
8310	46.80%	53.20%	دُون#noun	without;beneath;underneath;inferior;poor	4	3	4	4
8309	53.35%	46.65%	أَرْض#noun	earth;territory;land#territories;land#earth;lands;territories	1	1	1	1
8285	36.95%	63.05%	حَقّ#noun	truth;right#rights;law	1	2	2	2
8205	64.83%	35.17%	زال#verb	disappear#cease;stop_being;stop_doing#not_+_cease;stop_being;stop_doing	3	2	3	3
8072	86.47%	13.53%	وَجْه#noun	face;front#faces	1	1	1	1
8057	81.38%	18.62%	ناس#noun	people	1	1	1	1
8056	5.70%	94.30%	أَكَّد#verb	affirm;assure;confirm;guarantee#be_affirmed;be_assured;be_confirmed;be_guaranteed	2	3	2	2
8046	67.66%	32.34%	حال#noun	situation;condition;case#situations;conditions;cases	1	1	2	1
8021	10.11%	89.89%	عامّ#adj	general;common;public	3	3	2	3
7808	46.85%	53.15%	شَأْن#noun	matter;affair;case#affairs;matters	3	3	4	3
7786	31.47%	68.53%	وَقْت#noun	time;moment;period_of_time#moments;times#the_time_+_[def.acc.]_+_that	1	1	1	1
7785	1.79%	98.21%	عَمَلِيَّة#noun	operation;mission;process#operations;missions;processes	1	1	2	1
7706	0.75%	99.25%	مُتَّحِد#adj	united	3	2	3	3
7684	92.11%	7.89%	نَظَر#verb	look;observe;see;regard#look;see;observe#be_regarded;be_seen	2	1	1	1
7672	45.10%	54.90%	نَحْو#noun	way;manner;method;approach#areas	3	4	4	4
7633	76.69%	23.31%	ٱِسْتَطاع#verb	be_able;be_capable#be_possible;be_capable	1	1	2	1
7616	42.71%	57.29%	أَيْضاً#adv	also,_too,_as_well_(as),_along_with,_in_addition_(to)	2	1	1	1
7583	94.22%	5.78%	أَنْتَ#pron	you_[masc.sg.]	1	1	1	1
7581	85.93%	14.07%	أَخَذ#verb	take;begin#be_taken#take	1	1	1	1
7539	86.10%	13.90%	خَرَج#verb	go_out;exit;leave	1	1	1	1
7522	22.89%	77.11%	عالَم#noun	world	1	1	2	1
7505	24.34%	75.66%	أَمْس#noun	yesterday	2	1	1	1
7504	77.32%	22.68%	رَأْس#noun	head;top#heads;tops	1	1	1	1
7471	0.08%	99.92%	دُوَلِيّ#adj	international;world	4	3	3	3
7379	2.13%	97.87%	شَرِكَة#noun	companies;corporations#company;corporation	1	1	2	1
7362	57.08%	42.92%	ذَكَر#verb	be_mentioned;be_cited#mention;cite;remember	2	3	2	2
7317	8.16%	91.84%	وَ#conj	and	1	1	1	1
7241	52.64%	47.36%	وَصَل#verb	arrive_at;reach;connect#be_arrived_at;be_reached;be_connected	1	1	1	1
7227	28.92%	71.08%	قام#verb	undertake;carry_out	1	2	2	2
7226	71.62%	28.38%	صاحِب#noun	owner;originator#owners;originators	1	1	2	1
7221	79.43%	20.57%	مَنْزِل#noun	houses;residences#house;residence	2	1	1	1
7190	4.76%	95.24%	أَعْلَن#verb	announce;declare#be_announced;be_declared	3	2	3	3
7150	58.50%	41.50%	دَعا#verb	call;invite#be_called;be_invited	1	2	2	2
7127	77.75%	22.25%	لَوْ#conj_sub	if	1	1	2	1
7125	51.17%	48.83%	مَرَّة#noun	occasion;time;moment#occasions;times;moments	1	1	1	1
7101	12.05%	87.95%	ماضِي#adj	past;bygone#incisive;keen;energetic;efficient#proceeding	3	3	2	3
7074	67.76%	32.24%	مَكان#noun	place;location;position#places;locations;positions	1	1	1	1
7046	30.07%	69.93%	ثَلاث#noun_num	three	1	1	1	1
7019	38.20%	61.80%	لَدَى#noun	with;by	4	3	3	3
6999	23.56%	76.44%	أَلْف#noun_num	thousand#thousands	1	1	2	1
6989	3.25%	96.75%	أَضاف#verb	add	2	1	2	2
6948	78.97%	21.03%	صَوْت#noun	vote	2	3	3	3
6810	11.19%	88.81%	ذُو#noun	of;with	4	3	3	3
6736	72.22%	27.78%	بَقِي#verb	remain;last#stay;remain	1	1	1	1
6690	19.85%	80.15%	خاصّ#adj	special;specific	1	2	2	2
6666	5.19%	94.81%	شَرْق#noun	east;East	1	2	2	2
6661	28.01%	71.99%	أَمْكَن#verb	be_possible;make_possible_for	4	3	3	3
6645	5.13%	94.87%	وِلايَة#noun	state;province#states;provinces	4	3	4	4
6636	66.65%	33.35%	أَتَى#verb	arrive;come;reach	2	1	2	2
6633	3.05%	96.95%	سِياسِيّ#adj	political	4	3	4	4
6604	87.31%	12.69%	غُرْفَة#noun	room;chamber#rooms;chambers	1	1	1	1
6482	39.99%	60.01%	أَشار#verb	indicate;mention;cite#be_indicated;be_mentioned;be_cited	4	4	5	4
6458	48.03%	51.97%	أَصْبَح#verb	become;begin;start	2	1	2	2
6428	87.96%	12.04%	سَأَل#verb	ask;inquire;request#be_asked	1	1	1	1
6369	74.96%	25.04%	جَعَل#verb	make;bring_about;appoint	1	2	1	1
6331	26.22%	73.78%	شَهْر#noun	months#month	1	1	1	1
6324	53.65%	46.35%	بَلَغ#verb	reach;attain	3	3	3	3
6311	72.73%	27.27%	بَيْت#noun	house#verses	1	1	1	1
6298	18.07%	81.93%	وَضْع#noun	laying_down;putting;placing#conditions;situation;status	2	2	1	2
6287	76.59%	23.41%	حَدِيث#noun	discussion;talk;interview#discussions;talks	1	1	2	1
6265	25.51%	74.49%	أَخِير#adj	last;latest;recent;latter	1	2	2	2
6222	59.61%	40.39%	نَظَر#noun	view;look;seeing;eye-sight#glances;looking	1	1	1	1
6205	89.40%	10.60%	ماذا#pron_interrog	what	2	1	1	1
6162	1.79%	98.21%	هَدَف#noun	goal;objective;intention#goals;objectives;intentions	2	1	1	1
6142	17.99%	82.01%	كَما#conj	and;as;also	3	4	3	3
6141	55.28%	44.72%	أَحَد#noun_num	one	1	2	1	1
6121	93.27%	6.73%	أَجاب#verb	answer;reply;comply#be_answered;be_replied;be_complied	2	1	2	2
6096	3.30%	96.70%	ٱِتِّحاد#noun	union	3	3	2	3
6008	74.83%	25.17%	هُنا#adv	here	2	1	1	1
6007	95.41%	4.59%	نَعَم#interj	yes	1	1	1	1
5993	90.52%	9.48%	أَب#noun	father#parents#father_+_my#fathers;ancestors	1	1	1	1
5958	10.51%	89.49%	سابِق#adj	former;previous;preceding	3	3	2	3
5938	1.33%	98.67%	ٱِنْتِخاب#noun	election;selection#elections;selections	2	3	3	3
5868	70.77%	29.23%	كِتاب#noun	books#book	1	1	1	1
5838	80.66%	19.34%	أَهْل#noun	family;people#qualified#families;indigenous_people#people;families;folk	1	1	1	1
5802	87.75%	12.25%	حُبّ#noun	love;affection	1	1	1	1
5801	57.92%	42.08%	قَتَل#verb	be_killed#kill	1	1	1	1
5781	92.54%	7.46%	أَحَبّ#verb	love;like	1	1	1	1
5781	66.46%	33.54%	هُم#pron	they_[masc.pl]	2	1	2	2
5731	24.85%	75.15%	حَرَكَة#noun	movement;activity;organization	1	1	1	1
5730	24.26%	75.74%	أَكْبَر#adj_comp	larger/largest;greater/greatest	1	1	1	1
5697	4.39%	95.61%	مَشْرُوع#noun	project;enterprise#projects;enterprises	2	2	3	2
5686	66.48%	33.52%	قَوْل#noun	statement;remark#statements;reports#statements;remarks	3	2	3	3
5668	81.12%	18.88%	فَعَل#verb	do;act	2	1	1	1
5628	30.17%	69.83%	حَرْب#noun	wars#war;warfare	1	1	1	1
5625	26.79%	73.21%	حَدّ#noun	stop;halt;end#border;frontier;limits	2	3	3	3
5583	83.99%	16.01%	سَيِّدَة#noun	lady#ladies	1	1	1	1
5575	89.74%	10.26%	فَتاة#noun	young_girls#young_girl	2	1	1	1
5575	73.02%	26.98%	مَلِك#noun	king	1	1	1	1
5561	71.48%	28.52%	إِذْ#conj_sub	Then,_and_then,_as,_when,_while,_(and)_suddenly,_(and)_all_of_a_sudden	3	3	4	3
5533	64.20%	35.80%	رَأْي#noun	opinion;view;idea#opinions;views;ideas	1	2	2	2
5497	16.06%	83.94%	دَوْر#noun	role;part#roles;parts	2	3	3	3
5462	6.76%	93.24%	مِلْيُون#noun_num	millions#million	3	2	3	3
5431	65.62%	34.38%	مال#noun	money;capital;funds#assets;capital;funds	2	1	1	1
5419	19.73%	80.27%	شَخْص#noun	individual;person#individuals;persons	1	1	1	1
5387	85.28%	14.72%	كَلام#noun	speech;statement;remark;talk;saying	1	1	1	1
5355	65.79%	34.21%	طَلَب#verb	request	1	1	1	1
5345	84.38%	15.62%	قَصْر#noun	castle;palace#castles;palaces	1	1	1	1
5345	83.54%	16.46%	قائِل#adj	saying	2	2	1	2
5332	25.64%	74.36%	جَيْش#noun	army;troops	1	1	1	1
5302	54.32%	45.68%	فِيما#conj_sub	while;as;during	4	3	4	4
5254	7.67%	92.33%	أَمْن#noun	security;safety	1	2	1	1
5208	6.53%	93.47%	حِزْب#noun	party;band#parties;bands	4	3	4	4
5181	0.46%	99.54%	قِطاع#noun	sector;section#sectors;sections	4	3	4	4
5101	24.07%	75.93%	بَدَأ#verb	start;begin	1	1	1	1
5076	45.96%	54.04%	صُورَة#noun	pictures;photographs;illustrations;photos#picture;image;illustration;photo	1	1	1	1
5037	6.43%	93.57%	فَرِيق#noun	team;band;group;faction;party#lieutenant_generals#factions;parties;groups	1	1	1	1
5007	3.85%	96.15%	وِزارَة#noun	ministry#ministries	3	2	3	3
4990	38.26%	61.74%	لَنْ#part_neg	not,_never,_nevermore	2	1	2	2
4963	36.55%	63.45%	قَدَّم#verb	offer;present;introduce#be_offered;be_presented;be_introduced	1	1	1	1
4926	2.05%	97.95%	أَوْسَط#adj_comp	middle;central	2	1	2	2
4912	41.31%	58.69%	أَجْل#noun	for_sake_of;because_of	4	5	5	5
4909	58.59%	41.41%	وَقَع#verb	fall_down;take_place;be_located	1	1	1	1
4897	35.00%	65.00%	طِفْل#noun	children;infants#child;boy#child;girl	1	1	1	1
4885	6.24%	93.76%	خارِجِيّ#adj	foreign;outside;outer	2	2	1	2
4866	7.21%	92.79%	مَرْكَز#noun	center;station#centers;stations	2	1	2	2
4861	46.47%	53.53%	إِنْسان#noun	human_being	1	1	1	1
4857	15.59%	84.41%	مِئَة#noun_num	hundreds#hundred	1	1	1	1
4845	76.51%	23.49%	أَخ#noun	brothers#brother#brother_+_my	1	1	1	1
4808	94.88%	5.12%	ظَنّ#verb	think;believe;presume	3	3	2	3
4796	9.32%	90.68%	نِسْبَة#noun	ratios;rates;percentage_figures#ratio;rate;percentage_figure	3	3	2	3
4770	10.23%	89.77%	تَحْقِيق#noun	achievement;realization#achievements;realizations	1	2	2	2
4737	81.30%	18.70%	والِد#noun	father#mother#parents;father_and_mother	1	1	1	1
4726	9.06%	90.94%	قَضِيَّة#noun	problem;issue#problems;issues	4	3	3	3
4715	52.85%	47.15%	وَجَب#verb	be_necessary;be_incumbent	3	3	2	3
4714	60.59%	39.41%	حَمَل#verb	carry;bear;transport	1	1	1	1
4701	1.57%	98.43%	مَسْؤُول#noun	official;functionary	2	3	3	3
4696	91.14%	8.86%	كَأَنَّ#verb_pseudo	as_if,_as_though,_like	1	1	2	1
4693	75.82%	24.18%	صَدِيق#noun	friend#friends	2	1	1	1
4676	35.05%	64.95%	خِدْمَة#noun	service;assistance#services;assistance	1	2	2	2
4670	54.35%	45.65%	بَدا#verb	appear;seem	4	4	3	4
4658	89.33%	10.67%	كاد#verb	almost;hardly;no_sooner#deceive;harm	4	3	4	4
4655	45.95%	54.05%	ذات#noun	same;self;essence#selves;beings#having;possessing	4	4	3	4
4591	15.86%	84.14%	شَكْل#noun	manners/types;forms;configurations#manner;form;configuration	1	1	1	1
4584	2.92%	97.08%	حالِيّ#adj	present;current	4	3	3	3
4576	5.29%	94.71%	وَطَنِيّ#adj	national	3	2	2	2
4562	6.03%	93.97%	نائِب#noun	deputy;delegate;vice-#deputies;delegates	3	2	3	3
4553	26.11%	73.89%	جِهَة#noun	side;part;direction	2	2	1	2
4551	8.35%	91.65%	سُلْطَة#noun	power;authority;rule#authorities#powers;authorities;rules	4	3	3	3
4540	23.55%	76.45%	زِيارَة#noun	visiting#visits#visit	1	1	1	1
4529	13.45%	86.55%	عَلاقَة#noun	connection;relation;link#ties;relations;contacts;links#straps;cords	1	1	2	1
4510	85.23%	14.77%	أُمّ#noun	mother;maternal#mothers	1	1	1	1
4508	0.73%	99.27%	وِكالَة#noun	agency#agencies	4	3	4	4
4506	5.08%	94.92%	نُقْطَة#noun	points;locations;positions#point;location;position	1	2	1	1
4501	4.22%	95.78%	قَرار#noun	decision;resolution#decisions;resolutions	2	1	2	2
4489	4.08%	95.92%	مَصْدَر#noun	source#sources	3	2	3	3
4486	20.82%	79.18%	رَغْم#noun	in_spite_of;despite	3	3	2	3
4483	77.18%	22.82%	إِنَّما#part_restrict	but_rather;indeed	4	4	3	4
4477	55.77%	44.23%	تَحْتَ#noun	under	1	1	1	1
4457	12.21%	87.79%	عَدَم#noun	absence_of;lack_of;not;non-	4	3	4	4
4453	30.34%	69.66%	حُكْم#noun	judgment;decision;verdict#statutes;laws	3	3	2	3
4449	0.58%	99.42%	دُولار#noun	dollars#dollar	2	1	2	2
4447	14.89%	85.11%	عُضْو#noun	members#member	3	2	2	2
4426	11.84%	88.16%	نِظام#noun	regime;government#systems#regimes;governments;systems	1	1	2	1
4425	11.75%	88.25%	نَتِيجَة#noun	result;consequence#results;consequences	1	1	2	1
4424	20.28%	79.72%	شَعْب#noun	people;nation#peoples;nations	1	1	2	1
4406	21.20%	78.80%	أُمَّة#noun	nation;people#nations;peoples	3	2	3	3
4398	7.96%	92.04%	مُقْبِل#adj	next;coming;approaching	3	3	2	3
4393	6.49%	93.51%	ٱِعْتَبَر#verb	consider;regard;believe#be_considered;be_regarded;be_believed	1	2	2	2
4389	63.64%	36.36%	كَلِمَة#noun	words;remarks#word;remark;speech	1	1	1	1
4367	66.64%	33.36%	زاد#verb	increase;exceed;add#add_(to)#be_increased;be_added	1	1	1	1
4367	19.42%	80.58%	سَلام#noun	peace#anthem;song#greetings;salutations	1	2	2	2
4355	82.43%	17.57%	وَقَف#verb	stop;cease;stand	1	1	1	1
4348	86.89%	13.11%	كَيْفَ#adv_interrog	how	2	1	2	2
4329	79.33%	20.67%	شَدِيد#adj	intense;strong;severe	1	2	1	1
4322	61.48%	38.52%	حَدَث#verb	happen;take_place	1	1	2	1
4317	6.23%	93.77%	إِدارَة#noun	administration;management;bureau	2	1	1	1
4313	51.82%	48.18%	نَحْنُ#pron	we	2	1	1	1
4309	1.69%	98.31%	مَجْمُوعَة#noun	collection;group;bloc#collections;groups	2	1	1	1
4282	57.57%	42.43%	عِلْم#noun	knowledge;knowing#sciences	1	1	1	1
4230	89.34%	10.66%	سِرّ#noun	secret#secrets	1	1	1	1
4223	63.49%	36.51%	طَوِيل#adj	tall;long	1	1	1	1
4210	56.96%	43.04%	أَقام#verb	take_place;be_installed;be_established#install;establish;erect	4	3	3	3
4181	56.33%	43.67%	كَتَب#verb	write#be_written;be_fated;be_destined	1	1	1	1
4163	87.12%	12.88%	لَيْلَة#noun	night;evening;soire#nights;evenings;soires	2	1	1	1
4159	21.93%	78.07%	حَسَب#noun	according_to;in_accordance_with#according_to_+_[def.acc.]_+_what	2	1	2	2
4146	33.65%	66.35%	وُجُود#noun	presence;existence	3	2	2	2
4145	26.68%	73.32%	حالَة#noun	condition;case;situation#cases;situations;instances	1	2	2	2
4126	88.92%	11.08%	أَيْنَ#adv_interrog	where	2	1	1	1
4105	59.03%	40.97%	وَضَع#verb	put;place#be_put;be_placed	2	1	1	1
4086	4.70%	95.30%	عَسْكَرِيّ#adj	military;army	3	3	2	3
4073	28.28%	71.72%	لِقاء#noun	meeting;encounter;interview#meetings;encounters;interviews	2	1	2	2
4061	74.56%	25.44%	شَعَر#verb	feel;be_aware	1	1	2	1
4055	19.85%	80.15%	نادِي#noun	club;association#clubs;associations	1	1	1	1
4051	1.31%	98.69%	مُؤْتَمَر#noun	conference;convention	4	4	4	4
4043	33.22%	66.78%	قائِد#noun	leaders;commanders#leader;commander#driver;chauffeur;pilot	2	1	2	2
4020	77.21%	22.79%	وَرَق#noun	papers;sheets#paper;sheet	1	1	1	1
4017	62.16%	37.84%	ماء#noun	water#water;waters	2	1	1	1
3998	61.23%	38.77%	جِدّ#noun	seriousness;earnestness	3	3	3	3
3991	8.62%	91.38%	قانُون#noun	laws;regulations;rules;statutes#law;statutes;regulations	3	2	3	3
3975	76.15%	23.85%	سَبِيل#noun	way;road#ways;roads	3	2	3	3
3970	26.65%	73.35%	ثالِث#adj_num	third	1	1	1	1
3967	65.26%	34.74%	حَقِيقَة#noun	truth;reality#truth;facts	1	2	1	1
3962	73.04%	26.96%	بُدّ#noun	no_+_avoiding;escaping_(it's_inevitable)_+_[def.acc.]#escape;avoiding	4	3	4	4
3949	0.66%	99.34%	مُباراة#noun	match;game;competition#matches;games;competitions	1	1	1	1
