Word	Label	Book	Chapter	Line
طلوع	3	0	2	3
الشمس	3	0	2	3
،	3	0	2	3

والضباب	3	0	2	3
يسترها	3	0	2	3
على	3	0	2	3
مسافة	3	0	2	3
متر	3	0	2	3
،	3	0	2	3

ويشف	3	0	2	3
شيئا	3	0	2	3
فشيئا	3	0	2	3
عنها	3	0	2	3
—	3	0	2	3
وهو	3	0	2	3
منظر	3	0	2	3
لا	3	0	2	3
عهد	4	0	2	3
له	3	0	2	3
به	3	0	2	3
—	3	0	2	3
أغراه	3	0	2	3
بالمضي	4	0	2	3
فانطلق	4	0	2	3
على	3	0	2	3
غير	3	0	2	3
هدى	3	0	2	3
،	3	0	2	3

حتى	3	0	2	3
وقف	3	0	2	3
على	3	0	2	3
ترعة	4	0	2	3
صغيرة	3	0	2	3
نزرة	5	0	2	3
الماء	3	0	2	3
،	3	0	2	3

تكسو	4	0	2	3
الحشائش	3	0	2	3
جانبي	3	0	2	3
مجراها	4	0	2	3
،	3	0	2	3

ويفترش	4	0	2	3
الماء	3	0	2	3
في	3	0	2	3
قاعها	3	0	2	3
بساطا	3	0	2	3
سندسيا	5	0	2	3
لينا	3	0	2	3
.	3	0	2	3

وجعل	3	0	2	3
ينظر	3	0	2	3
إليها	3	0	2	3
تارة	4	0	2	3
،	3	0	2	3

ويدير	3	0	2	3
عينه	3	0	2	3
في	3	0	2	3
الحقول	3	0	2	3
المستوية	3	0	2	3
تارة	4	0	2	3
أخرى	3	0	2	3
.	3	0	2	3

وكان	3	0	2	3
المنظر	3	0	2	3
من	3	0	2	3
حوله	3	0	2	3
مؤلفا	4	0	2	3
من	3	0	2	3
عناصر	4	0	2	3
إذا	3	0	2	3
اجتمعت	3	0	2	3
،	3	0	2	3

كما	3	0	2	3
هى	3	0	2	3
الآن	4	0	2	3
،	3	0	2	3

أحالت	4	0	2	3
الحب	3	0	2	3
في	3	0	2	3
النفس	3	0	2	3
الحساسة	3	0	2	3
قلقا	4	0	2	3
،	3	0	2	3

وهوت	4	0	2	3
بالأمل	3	0	2	3
إلى	3	0	2	3
الشك	3	0	2	3
،	3	0	2	3

وهبطت	3	0	2	3
باليقين	4	0	2	3
إلى	3	0	2	3
مرتبة	3	0	2	3
الرجاء	4	0	2	3
،	3	0	2	3

ومنعت	3	0	2	3
الذكرى	3	0	2	3
أن	3	0	2	3
تحرك	3	0	2	3
الأسف	3	0	2	3
على	3	0	2	3
فائت	3	0	2	3
،	3	0	2	3

أو	3	0	2	3
الرغبة	3	0	2	3
أن	3	0	2	3
تدفع	3	0	2	3
إلى	3	0	2	3
سعي	3	0	2	3
.	3	0	2	3

وذلك	3	0	2	3
أنه	3	0	2	3
كان	3	0	2	3
أمامه	3	0	2	3
—	3	0	2	3
على	3	0	2	3
قدر	3	0	2	3
ما	3	0	2	3
وسعه	5	0	2	3
أن	3	0	2	3
يرى	3	0	2	3
—	3	0	2	3
هذه	3	0	2	3
الترعة	4	0	2	3
السوداء	3	0	2	3
ومن	3	0	2	3
ورائها	3	0	2	3
مثل	3	0	2	3
الجدار	3	0	2	3
القائم	4	0	2	3
.	3	0	2	3

ومن	3	0	2	3
خلفه	3	0	2	3
هو	3	0	2	3
أرض	3	0	2	3
بعضها	3	0	2	3
مرعى	3	0	2	3
فيما	3	0	2	3
يعلم	3	0	2	3
،	3	0	2	3

وبعضها	3	0	2	3
زرع	3	0	2	3
لا	3	0	2	3
يدري	3	0	2	3
أي	3	0	2	3
شيء	3	0	2	3
هو	3	0	2	3
.	3	0	2	3

ثم	3	0	2	3
فضاء	3	0	2	3
غير	3	0	2	3
مستو	3	0	2	3
يقوم	3	0	2	3
من	3	0	2	3
بعده	3	0	2	3
البيت	3	0	2	3
الذي	3	0	2	3
زايله	5	0	2	3
منذ	3	0	2	3
لحظة	3	0	2	3
.	3	0	2	3

وكل	3	0	2	3
ما	3	0	2	3
حوله	3	0	2	3
أشكال	3	0	2	3
ليس	3	0	2	3
لها	3	0	2	3
معارف	3	0	2	3
—	3	0	2	3
كالدرهم	3	0	2	3
المسيح	4	0	2	3
—	3	0	2	3
توحي	3	0	2	3
إلى	3	0	2	3
النفس	3	0	2	3
أي	3	0	2	3
شيء	3	0	2	3
،	3	0	2	3

ولا	3	0	2	3
تنطق	3	0	2	3
بشيء	3	0	2	3
،	3	0	2	3

إذ	3	0	2	3
كان	3	0	2	3
الضباب	3	0	2	3
لا	3	0	2	3
يزال	3	0	2	3
يكسوها	4	0	2	3
ثوبا	3	0	2	3
يزيدها	3	0	2	3
في	3	0	2	3
رأي	3	0	2	3
العين	3	0	2	3
والقلب	3	0	2	3
عريا	3	0	2	3
وتجردا	5	0	2	3
.	3	0	2	3

وكانت	3	0	2	3
السماء	3	0	2	3
دانية	4	0	2	3
مسفة	5	0	2	3
يحس	3	0	2	3
المرء	3	0	2	3
أنها	3	0	2	3
تهم	4	0	2	3
بالانطباق	5	0	2	3
على	3	0	2	3
الأرض	3	0	2	3
.	3	0	2	3

ثم	3	0	2	3
بدأت	3	0	2	3
الشمس	3	0	2	3
تطلع	3	0	2	3
حمراء	3	0	2	3
قانية	5	0	2	3
كبيرة	3	0	2	3
القرص	3	0	2	3
،	3	0	2	3

وأخذت	3	0	2	3
تطلق	3	0	2	3
أشعتها	3	0	2	3
الطويلة	3	0	2	3
المتوهجة	5	0	2	3
من	3	0	2	3
الشرق	3	0	2	3
فتتلقاها	4	0	2	3
في	3	0	2	3
الغرب	3	0	2	3
السحب	3	0	2	3
،	3	0	2	3

فأطراف	4	0	2	3
المنازل	3	0	2	3
،	3	0	2	3

والأكواخ	3	0	2	3
والنوافذ	3	0	2	3
ورؤوس	3	0	2	3
الأشجار	3	0	2	3
،	3	0	2	3

فالأغصان	3	0	2	3
النابتة	5	0	2	3
على	3	0	2	3
وجه	3	0	2	3
الأرض	3	0	2	3
؛	3	0	2	3

فصارت	3	0	2	3
الأنفاس	3	0	2	3
كأنها	3	0	2	3
خارجة	3	0	2	3
من	3	0	2	3
فوهة	4	0	2	3
مدخنة	3	0	2	3
،	3	0	2	3

لا	3	0	2	3
من	3	0	2	3
فم	3	0	2	3
آدمي	3	0	2	3
.	3	0	2	3

وأحس	3	0	2	4
لطول	3	0	2	4
ما	3	0	2	4
وقف	3	0	2	4
،	3	0	2	4

بالبرد	3	0	2	4
يسري	4	0	2	4
من	3	0	2	4
قدميه	3	0	2	4
إلى	3	0	2	4
سائر	4	0	2	4
بدنه	3	0	2	4
،	3	0	2	4

فثنى	5	0	2	4
خطواته	3	0	2	4
إلى	3	0	2	4
الدار	3	0	2	4
،	3	0	2	4

وما	3	0	2	4
كاد	4	0	2	4
يفتح	3	0	2	4
الباب	3	0	2	4
المؤدي	4	0	2	4
إلى	4	0	2	4
الجناح	4	0	2	4
الذي	3	0	2	4
أفرد	4	0	2	4
له	3	0	2	4
،	3	0	2	4

حتى	3	0	2	4
طالعته	3	0	2	4
زنجية	4	0	2	4
لامعة	3	0	2	4
الجلد	3	0	2	4
،	3	0	2	4

منتفخة	3	0	2	4
الأوداج	5	0	2	4
،	3	0	2	4

كأنما	3	0	2	4
حشيت	5	0	2	4
أشداقها	5	0	2	4
قطنا	3	0	2	4
،	3	0	2	4

براقة	3	0	2	4
الأسنان	3	0	2	4
.	3	0	2	4

واسعة	3	0	2	4
العينين	3	0	2	4
حمراؤهما	3	0	2	4
،	3	0	2	4

قد	3	0	2	4
غرز	3	0	2	4
رأسها	3	0	2	4
المعصوب	5	0	2	4
بين	3	0	2	4
كتفيها	3	0	2	4
غرزا	4	0	2	4
،	3	0	2	4

واتصل	3	0	2	4
بهما	3	0	2	4
بلا	3	0	2	4
واسطة	4	0	2	4
.	3	0	2	4

أما	3	0	2	4
صدرها	3	0	2	4
فعريض	3	0	2	4
جدا	3	0	2	4
،	3	0	2	4

وأما	3	0	2	4
خصرها	3	0	2	4
—	3	0	2	4
إذا	3	0	2	4
جاز	3	0	2	4
أن	3	0	2	4
يسمى	3	0	2	4
هذا	3	0	2	4
خصرا	3	0	2	4
—	3	0	2	4
فهضيم	5	0	2	4
جدا	3	0	2	4
،	3	0	2	4

حتى	3	0	2	4
كأن	3	0	2	4
ما	3	0	2	4
نقص	3	0	2	4
من	3	0	2	4
هذا	3	0	2	4
زيد	4	0	2	4
في	3	0	2	4
ذاك	3	0	2	4
،	3	0	2	4

ويلي	5	0	2	4
الخصر	3	0	2	4
ردفان	5	0	2	4
ثقيلان	5	0	2	4
تحتهما	5	0	2	4
ساقان	3	0	2	4
قصيرتان	3	0	2	4
كالقمعين	3	0	2	4
،	3	0	2	4

فكأنهما	3	0	2	4
زير	5	0	2	4
عليه	5	0	2	4
إبريق	3	0	2	4
مقلوب	3	0	2	4
فوقه	3	0	2	4
كرة	3	0	2	4
ذات	4	0	2	4
ثقوب	3	0	2	4
،	3	0	2	4

والمرء	3	0	2	4
بايسر	3	0	2	4
مجهود	3	0	2	4
من	3	0	2	4
الخيال	3	0	2	4
يستطيع	3	0	2	4
أن	3	0	2	4
يتصورها	3	0	2	4
مفككة	3	0	2	4
.	3	0	2	4

فابتدرته	5	0	2	5
الزنجية	4	0	2	5
بقولها	3	0	2	5
:	3	0	2	5
أين	3	0	2	5
كنت	3	0	2	5
يا	3	0	2	5
سيدي	3	0	2	5
؟	3	0	2	5

فلم	3	0	2	6
يرتح	3	0	2	6
إبراهيم	3	0	2	6
إلى	3	0	2	6
هذه	3	0	2	6
المفاجأة	3	0	2	6
،	3	0	2	6

ولم	3	0	2	6
يسره	3	0	2	6
لونها	3	0	2	6
الأسود	3	0	2	6
البراق	3	0	2	6
بعد	3	0	2	6
ذلك	3	0	2	6
الضباب	3	0	2	6
الذى	3	0	2	6
لبث	4	0	2	6
فيه	3	0	2	6
.	3	0	2	6

وكان	3	0	2	6
من	3	0	2	6
أثقل	3	0	2	6
الأشياء	3	0	2	6
على	3	0	2	6
نفسه	3	0	2	6
أن	3	0	2	6
يسأل	3	0	2	6
عن	3	0	2	6
روحاته	5	0	2	6
وغدواته	5	0	2	6
،	3	0	2	6

فقال	3	0	2	6
لها	3	0	2	6
:	3	0	2	6
أين	3	0	2	6
كنت	3	0	2	6
؟	3	0	2	6

وكيف	3	0	2	6
يعنيك	3	0	2	6
هذا	3	0	2	6
؟	3	0	2	6

–	3	0	2	7
لقد	3	0	2	7
أزعجتنا	3	0	2	7
جدا	3	0	2	7
يا	3	0	2	7
سيدي	3	0	2	7
،	3	0	2	7

ولم	3	0	2	7
يخطر	5	0	2	7
لنا	5	0	2	7
قط	3	0	2	7
أنك	3	0	2	7
قد	3	0	2	7
تخرج	3	0	2	7
في	3	0	2	7
مثل	3	0	2	7
هذه	5	0	2	7
البكرة	5	0	2	7
المطلولة	5	0	2	7
،	3	0	2	7

فحرت	5	0	2	7
ماذا	3	0	2	7
أصنع	3	0	2	7
و	3	0	2	7
.	3	0	2	7
.	3	0	2	7

–	3	0	2	8
لعلك	3	0	2	8
لم	3	0	2	8
تقلقي	3	0	2	8
أحدا	3	0	2	8
من	5	0	2	8
أجلي	5	0	2	8
؟	3	0	2	8

–	3	0	2	9
نعم	3	0	2	9
،	3	0	2	9

أيقظتهم	3	0	2	9
جميعا	3	0	2	9
.	3	0	2	9

–	3	0	2	10
أيقظتهم	3	0	2	10
جميعا	3	0	2	10
؟	3	0	2	10

ولماذا	3	0	2	10
بالله	3	0	2	10
؟	3	0	2	10

أترينني	3	0	2	10
طفلا	3	0	2	10
أم	3	0	2	10
أنا	3	0	2	10
هنا	3	0	2	10
سجين	3	0	2	10
؟	3	0	2	10

ولم	3	0	2	11
تكن	3	0	2	11
المسكينة	3	0	2	11
تتوقع	3	0	2	11
أن	3	0	2	11
يغضبه	3	0	2	11
سؤالها	3	0	2	11
وإشفاقها	3	0	2	11
عليه	3	0	2	11
،	3	0	2	11

وأفزعتها	3	0	2	11
نظراته	3	0	2	11
أكثر	3	0	2	11
مما	3	0	2	11
أفزعتها	3	0	2	11
لهجته	4	0	2	11
،	3	0	2	11

فرمت	3	0	2	11
بعينيها	3	0	2	11
إلى	3	0	2	11
الأرض	3	0	2	11
وأخذت	3	0	2	11
تتمتم	3	0	2	11
:	3	0	2	11
لا	3	0	2	11
…	3	0	2	11

لا	3	0	2	11
،	3	0	2	11

ياسيدى	3	0	2	11
،	3	0	2	11

عفوك	3	0	2	11
!	3	0	2	11

هذا	3	0	2	11
بيتك	3	0	2	11
…	3	0	2	11
.	3	0	2	11

–	3	0	2	12
من	3	0	2	12
قال	3	0	2	12
لك	3	0	2	12
إني	3	0	2	12
في	3	0	2	12
بيتي	3	0	2	12
يضرب	3	0	2	12
علي	3	0	2	12
نطاق	4	0	2	12
من	3	0	2	12
الخدم	3	0	2	12
؟	3	0	2	12

–	3	0	2	13
أنا	3	0	2	13
.	3	0	2	13
.	3	0	2	13

أنا	3	0	2	13
.	3	0	2	13
.	3	0	2	13

لا	3	0	2	13
ذنب	3	0	2	13
لي	3	0	2	13
.	3	0	2	13

لقد	3	0	2	13
أمرتني	3	0	2	13
سيدتي	3	0	2	13
شوشو	3	0	2	13
قبل	3	0	2	13
أن	3	0	2	13
تنام	3	0	2	13
أن	3	0	2	13
أخبرها	3	0	2	13
.	3	0	2	13

فلم	3	0	2	14
يمهلها	3	0	2	14
حتى	3	0	2	14
تتم	3	0	2	14
كلامها	3	0	2	14
،	3	0	2	14

وصاح	3	0	2	14
بها	3	0	2	14
وقد	3	0	2	14
تملكه	3	0	2	14
غضب	3	0	2	14
شر	3	0	2	14
ما	3	0	2	14
فيه	3	0	2	14
أنه	3	0	2	14
يعلم	3	0	2	14
أن	3	0	2	14
لا	3	0	2	14
داعي	3	0	2	14
له	3	0	2	14
:	3	0	2	14
إذا	3	0	2	14
كانت	3	0	2	14
سيدتك	3	0	2	14
هي	3	0	2	14
التي	3	0	2	14
شاءت	3	0	2	14
أن	3	0	2	14
تسد	3	0	2	14
في	3	0	2	14
وجهي	3	0	2	14
الأبواب	3	0	2	14
،	3	0	2	14

فسأرحل	3	0	2	14
هذا	3	0	2	14
النهار	3	0	2	14
.	3	0	2	14

نعم	3	0	2	14
لا	3	0	2	14
بد	4	0	2	14
من	3	0	2	14
السفر	3	0	2	14
،	3	0	2	14

فلست	3	0	2	14
أنوى	3	0	2	14
أن	3	0	2	14
أعصب	5	0	2	14
رأسى	3	0	2	14
وأسدل	4	0	2	14
على	3	0	2	14
وجهى	3	0	2	14
قناعا	3	0	2	14
!	3	0	2	14

ودفع	3	0	2	15
باب	3	0	2	15
غرفته	3	0	2	15
بعنف	3	0	2	15
،	3	0	2	15

ودخل	3	0	2	15
وهو	3	0	2	15
يتمتم	3	0	2	15
بصوت	3	0	2	15
يزيده	3	0	2	15
تهدجا	5	0	2	15
شعوره	3	0	2	15
بأنه	3	0	2	15
مخطئ	3	0	2	15
في	3	0	2	15
غضبه	3	0	2	15
،	3	0	2	15

وأنه	3	0	2	15
تهور	3	0	2	15
بلا	3	0	2	15
مسوغ	5	0	2	15
.	3	0	2	15

وشرع	4	0	2	15
يعد	3	0	2	15
حقيبته	3	0	2	15
ويفكر	3	0	2	15
في	3	0	2	15
القيود	4	0	2	15
التي	3	0	2	15
تحيط	3	0	2	15
بالمرء	3	0	2	15
في	3	0	2	15
الريف	3	0	2	15
،	3	0	2	15

ونسي	3	0	2	15
أن	3	0	2	15
للمدن	3	0	2	15
أيضا	3	0	2	15
قيودها	4	0	2	15
.	3	0	2	15

ولم	3	0	2	16
يكن	3	0	2	16
صاحبنا	3	0	2	16
إبراهيم	3	0	2	16
قد	3	0	2	16
بلغ	3	0	2	16
سن	3	0	2	16
الفلسفة	4	0	2	16
،	3	0	2	16

أو	3	0	2	16
إن	3	0	2	16
شئت	3	0	2	16
فقل	3	0	2	16
سن	3	0	2	16
التبلد	4	0	2	16
أو	3	0	2	16
الحزم	4	0	2	16
أو	3	0	2	16
ما	3	0	2	16
تحب	3	0	2	16
غيرهما	3	0	2	16
،	3	0	2	16

وإن	3	0	2	16
كان	3	0	2	16
بطبعه	3	0	2	16
لا	3	0	2	16
طياشا	5	0	2	16
ولا	3	0	2	16
قليل	3	0	2	16
التؤدة	5	0	2	16
.	3	0	2	16

وكان	3	0	2	16
من	3	0	2	16
ذلك	3	0	2	16
الطراز	4	0	2	16
الذي	3	0	2	16
نستطيع	3	0	2	16
أن	3	0	2	16
نقول	3	0	2	16
إن	3	0	2	16
الله	3	0	2	16
وهبة	3	0	2	16
كل	3	0	2	16
شىء	3	0	2	16
،	3	0	2	16

إلا	3	0	2	16
القدرة	3	0	2	16
على	3	0	2	16
الانتفاع	4	0	2	16
بالحياة	3	0	2	16
والتوفيق	3	0	2	16
فى	3	0	2	16
الدنيا	3	0	2	16
،	3	0	2	16

وإن	3	0	2	16
يكن	3	0	2	16
اشبه	4	0	2	16
بالنساء	3	0	2	16
في	3	0	2	16
المرونة	3	0	2	16
وسرعة	3	0	2	16
التكيف	4	0	2	16
.	3	0	2	16

وكان	3	0	2	16
عظيم	3	0	2	16
الاعتداد	5	0	2	16
بنفسه	3	0	2	16
شديد	3	0	2	16
الاعتماد	3	0	2	16
عليها	3	0	2	16
ولكن	3	0	2	16
من	3	0	2	16
غير	3	0	2	16
أن	3	0	2	16
يشوب	5	0	2	16
ذلك	3	0	2	16
الكبرياء	3	0	2	16
والتقحم	5	0	2	16
على	3	0	2	16
الناس	3	0	2	16
.	3	0	2	16

وفيه	3	0	2	16
أنفة	5	0	2	16
كثيرا	3	0	2	16
ما	3	0	2	16
كانت	3	0	2	16
تبلغ	3	0	2	16
درجة	3	0	2	16
البلاهة	3	0	2	16
،	3	0	2	16

وقد	3	0	2	16
غلب	3	0	2	16
عليه	3	0	2	16
«	3	0	2	16
الكاتب	3	0	2	16
»	3	0	2	16
وصار	3	0	2	16
لقبا	4	0	2	16
وعلما	3	0	2	16
عليه	3	0	2	16
كما	3	0	2	16
حدث	3	0	2	16
لعبد	3	0	2	16
الحميد	3	0	2	16
من	3	0	2	16
قبله	3	0	2	16
بقرون	3	0	2	16
طويلة	3	0	2	16
المدد	4	0	2	16
.	3	0	2	16

ولم	3	0	2	16
تكن	3	0	2	16
مزيته	5	0	2	16
الابتكار	3	0	2	16
أو	3	0	2	16
العمق	3	0	2	16
بل	3	0	2	16
إنه	3	0	2	16
ما	3	0	2	16
من	3	0	2	16
فكرة	3	0	2	16
يتناولها	3	0	2	16
إلا	3	0	2	16
وسعه	5	0	2	16
أن	3	0	2	16
يجلوها	4	0	2	16
في	3	0	2	16
أحسن	3	0	2	16
معرض	4	0	2	16
،	3	0	2	16

وإلا	3	0	2	16
استطاع	3	0	2	16
—	3	0	2	16
إذا	3	0	2	16
لم	3	0	2	16
تكن	3	0	2	16
مما	3	0	2	16
ابتكر	3	0	2	16
—	3	0	2	16
أن	3	0	2	16
يضيف	3	0	2	16
إليها	3	0	2	16
ويزيد	3	0	2	16
عليها	3	0	2	16
ما	3	0	2	16
ليس	3	0	2	16
دونها	4	0	2	16
.	3	0	2	16

على	3	0	2	16
أن	3	0	2	16
أبرز	3	0	2	16
مزاياه	5	0	2	16
كانت	3	0	2	16
أن	3	0	2	16
أسلوبه	3	0	2	16
صورة	3	0	2	16
لنفسه	3	0	2	16
ليطلع	4	0	2	16
على	3	0	2	16
كل	3	0	2	16
ما	3	0	2	16
فيها	3	0	2	16
،	3	0	2	16

وأن	3	0	2	16
يجيلها	5	0	2	16
فيما	3	0	2	16
هو	3	0	2	16
خارج	3	0	2	16
عنه	3	0	2	16
ليحيط	3	0	2	16
بكل	3	0	2	16
ما	3	0	2	16
وراءها	3	0	2	16
،	3	0	2	16

ولكنه	3	0	2	16
قلما	3	0	2	16
رأى	3	0	2	16
شيئا	3	0	2	16
خارجها	3	0	2	16
إلا	3	0	2	16
من	3	0	2	16
خلالها	3	0	2	16
.	3	0	2	16

وكان	3	0	2	16
على	3	0	2	16
قوة	3	0	2	16
طبعه	3	0	2	16
شديد	3	0	2	16
الحياء	3	0	2	16
كثير	3	0	2	16
الحذر	4	0	2	16
ولا	5	0	2	16
سيما	5	0	2	16
مع	3	0	2	16
النساء	3	0	2	16
اللواتي	3	0	2	16
لم	3	0	2	16
يألف	4	0	2	16
مجالسهن	4	0	2	16
إلا	3	0	2	16
العائليه	3	0	2	16
،	3	0	2	16

ولم	3	0	2	16
يكن	3	0	2	16
احترامه	3	0	2	16
لهن	3	0	2	16
كبيرا	3	0	2	16
وإن	3	0	2	16
كان	3	0	2	16
على	3	0	2	16
ذلك	3	0	2	16
لا	3	0	2	16
يحتقرهن	3	0	2	16
.	3	0	2	16

وعنده	3	0	2	16
أن	3	0	2	16
المرأة	3	0	2	16
أداة	3	0	2	16
لبقاء	3	0	2	16
النوع	3	0	2	16
،	3	0	2	16

وإن	3	0	2	16
جمالها	3	0	2	16
ليس	3	0	2	16
إلا	3	0	2	16
شركا	4	0	2	16
تنصبه	4	0	2	16
الحياة	3	0	2	16
ويحسن	3	0	2	16
كثيرا	3	0	2	16
أن	3	0	2	16
يتجنبه	3	0	2	16
،	3	0	2	16

وإن	3	0	2	16
الرجل	3	0	2	16
أجمل	3	0	2	16
من	3	0	2	16
المرأة	3	0	2	16
على	4	0	2	16
العموم	4	0	2	16
،	3	0	2	16

لأن	3	0	2	16
جمال	3	0	2	16
الرجل	3	0	2	16
الجميل	3	0	2	16
لا	3	0	2	16
يستمد	4	0	2	16
أكثر	3	0	2	16
فتنته	4	0	2	16
—	3	0	2	16
كجمال	3	0	2	16
المرأة	3	0	2	16
—	3	0	2	16
من	3	0	2	16
الغريزة	4	0	2	16
النوعية	5	0	2	16
.	3	0	2	16

وكان	3	0	2	16
سلوكه	3	0	2	16
إزاء	4	0	2	16
المرأة	3	0	2	16
مظهرا	3	0	2	16
لرأيه	3	0	2	16
فيها	3	0	2	16
—	3	0	2	16
ونعني	3	0	2	16
أنه	3	0	2	16
كان	3	0	2	16
يعدها	3	0	2	16
مخلوقا	3	0	2	16
جديرا	3	0	2	16
بالعطف	3	0	2	16
والمداعبة	3	0	2	16
في	3	0	2	16
غير	3	0	2	16
ضعف	3	0	2	16
ودون	4	0	2	16
أن	3	0	2	16
يمنع	3	0	2	16
ذلك	3	0	2	16
أن	3	0	2	16
تحكمها	3	0	2	16
دائما	3	0	2	16
وتلزمها	3	0	2	16
طاعتك	3	0	2	16
.	3	0	2	16

ومن	3	0	2	17
سخر	5	0	2	17
الأقدار	3	0	2	17
أن	3	0	2	17
هذه	3	0	2	17
الطبيعة	3	0	2	17
القوية	3	0	2	17
المتمردة	4	0	2	17
إلى	3	0	2	17
حد	3	0	2	17
كبير	3	0	2	17
تكون	3	0	2	17
في	3	0	2	17
جسم	3	0	2	17
ضئيل	3	0	2	17
هزيل	3	0	2	17
لا	3	0	2	17
يحتمل	3	0	2	17
شيئا	3	0	2	17
!	3	0	2	17

فقد	3	0	2	17
كان	3	0	2	17
صاحبنا	3	0	2	17
قصيرا	3	0	2	17
ضامر	4	0	2	17
الجسم	3	0	2	17
دقيق	3	0	2	17
العظام	3	0	2	17
واهي	4	0	2	17
التركيب	3	0	2	17
،	3	0	2	17

وليس	3	0	2	17
فيه	3	0	2	17
شىء	3	0	2	17
ينم	5	0	2	17
على	3	0	2	17
هذه	3	0	2	17
القوة	3	0	2	17
التي	3	0	2	17
انطوى	5	0	2	17
عليها	3	0	2	17
إلا	3	0	2	17
وجهه	3	0	2	17
،	3	0	2	17

أو	3	0	2	17
بعبارة	3	0	2	17
أدق	3	0	2	17
جبهته	3	0	2	17
الواسعة	3	0	2	17
العريضة	3	0	2	17
المتألقة	3	0	2	17
،	3	0	2	17

وعيناه	3	0	2	17
الواسعتان	3	0	2	17
الحادتان	3	0	2	17
،	3	0	2	17

وهامته	5	0	2	17
المستطيلة	3	0	2	17
القوية	3	0	2	17
،	3	0	2	17

وأنفه	3	0	2	17
الكبير	3	0	2	17
الأقنى	5	0	2	17
،	3	0	2	17

وشفته	3	0	2	17
المقوسة	3	0	2	17
الغليظة	3	0	2	17
بعض	3	0	2	17
الغلظ	5	0	2	17
.	3	0	2	17

على	3	0	2	17
أن	3	0	2	17
قوته	3	0	2	17
تنحصر	4	0	2	17
على	3	0	2	17
الاكثر	3	0	2	17
في	3	0	2	17
جبهته	3	0	2	17
وعينيه	3	0	2	17
.	3	0	2	17

ولم	3	0	2	17
يكن	3	0	2	17
يخفى	3	0	2	17
عليه	3	0	2	17
هذا	3	0	2	17
السر	3	0	2	17
،	3	0	2	17

